"img","title","console","genre","publisher","developer","critic_score","total_sales","na_sales","jp_sales","pal_sales","other_sales","release_date","last_update"
"/games/boxart/full_6510540AmericaFrontccc.jpg","Grand Theft Auto V","PS3","Action","Rockstar Games","Rockstar North","9.4","20.32","6.37","0.99","9.85","3.12","2013-09-17",""
"/games/boxart/full_5563178AmericaFrontccc.jpg","Grand Theft Auto V","PS4","Action","Rockstar Games","Rockstar North","9.7","19.39","6.06","0.6","9.71","3.02","2014-11-18","2018-01-03"
"/games/boxart/827563ccc.jpg","Grand Theft Auto: Vice City","PS2","Action","Rockstar Games","Rockstar North","9.6","16.15","8.41","0.47","5.49","1.78","2002-10-28",""
"/games/boxart/full_4990510AmericaFrontccc.jpg","Call of Duty: Black Ops 3","PS4","Shooter","Activision","Treyarch","8.1","15.09","6.18","0.41","6.05","2.44","2015-11-06","2018-01-14"
"/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg","Call of Duty: Modern Warfare 3","X360","Shooter","Activision","Infinity Ward","8.7","14.82","9.07","0.13","4.29","1.33","2011-11-08",""
"/games/boxart/full_call-of-duty-black-ops_5AmericaFront.jpg","Call of Duty: Black Ops","X360","Shooter","Activision","Treyarch","8.8","14.74","9.76","0.11","3.73","1.14","2010-11-09",""
"/games/boxart/full_4653215AmericaFrontccc.jpg","Red Dead Redemption 2","PS4","Action-Adventure","Rockstar Games","Rockstar Games","9.8","13.94","5.26","0.21","6.21","2.26","2018-10-26","2018-11-02"
"/games/boxart/full_1977964AmericaFrontccc.jpg","Call of Duty: Black Ops II","X360","Shooter","Activision","Treyarch","8.4","13.86","8.27","0.07","4.32","1.2","2012-11-13","2018-04-07"
"/games/boxart/full_4649679AmericaFrontccc.png","Call of Duty: Black Ops II","PS3","Shooter","Activision","Treyarch","8","13.8","4.99","0.65","5.88","2.28","2012-11-13","2018-04-07"
"/games/boxart/full_809251AmericaFrontccc.jpg","Call of Duty: Modern Warfare 2","X360","Shooter","Activision","Infinity Ward","9.5","13.53","8.54","0.08","3.63","1.28","2009-11-10",""
"/games/boxart/full_4380292AmericaFrontccc.jpg","Call of Duty: WWII","PS4","Shooter","Activision","Sledgehammer Games","8.1","13.4","4.67","0.4","6.21","2.12","2017-11-03","2017-12-31"
"/games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg","Call of Duty: Modern Warfare 3","PS3","Shooter","Activision","Infinity Ward","8.8","13.35","5.54","0.49","5.78","1.54","2011-11-08",""
"/games/boxart/3570928ccc.jpg","Grand Theft Auto III","PS2","Action","Rockstar Games","DMA Design","9.5","13.1","6.99","0.3","4.51","1.3","2001-10-23",""
"/games/boxart/full_call-of-duty-black-ops_3AmericaFront.jpg","Call of Duty: Black Ops","PS3","Shooter","Activision","Treyarch","8.7","12.67","6.01","0.48","4.4","1.78","2010-11-09",""
"/games/boxart/full_5257064AmericaFrontccc.jpg","FIFA 18","PS4","Sports","EA Sports","EA Vancouver","8.3","11.8","1.27","0.15","8.64","1.73","2017-09-29","2018-04-02"
"/games/boxart/full_1182151AmericaFrontccc.jpg","Grand Theft Auto IV","X360","Action","Rockstar Games","Rockstar North","10","11.09","6.8","0.14","3.11","1.04","2008-04-29",""
"/games/boxart/full_7661370AmericaFrontccc.jpg","FIFA 17","PS4","Sports","Electronic Arts","EA Canada","8.9","10.94","1.26","0.12","7.95","1.61","2016-09-27","2018-03-28"
"/games/boxart/full_call-of-duty-modern-warfare-2_1AmericaFront.jpg","Call of Duty: Modern Warfare 2","PS3","Shooter","Activision","Infinity Ward","9.5","10.61","4.99","0.38","3.66","1.59","2009-11-10",""
"/games/boxart/full_1729769AmericaFrontccc.jpg","Grand Theft Auto IV","PS3","Action","Rockstar Games","Rockstar North","10","10.57","4.79","0.44","3.73","1.62","2008-04-29",""
"/games/boxart/full_8522439AmericaFrontccc.jpg","Call of Duty: Ghosts","X360","Shooter","Activision","Infinity Ward","6.9","10.41","6.76","0.04","2.64","0.98","2013-11-05","2018-03-21"
"/games/boxart/full_3698558AmericaFrontccc.jpg","Call of Duty: Ghosts","PS3","Shooter","Activision","Infinity Ward","7.5","10.13","4.11","0.39","4.01","1.62","2013-11-05","2018-03-21"
"/games/boxart/full_halo-reach_6AmericaFront.jpg","Halo: Reach","X360","Shooter","Microsoft Game Studios","Bungie","9.3","9.97","7.08","0.08","2.01","0.8","2010-09-14","2018-10-11"
"/games/boxart/full_4481633AmericaFrontccc.jpg","Call of Duty 4: Modern Warfare","X360","Shooter","Activision","Infinity Ward","9.6","9.41","5.98","0.13","2.39","0.91","2007-11-05",""
"/games/boxart/full_the-elder-scrolls-v-skyrim_554AmericaFront.jpg","The Elder Scrolls V: Skyrim","X360","Role-Playing","Bethesda Softworks","Bethesda Game Studios","9.3","8.88","5.1","0.1","2.83","0.85","2011-11-11","2018-04-01"
"/games/boxart/full_8047513AmericaFrontccc.jpg","Grand Theft Auto V","XOne","Action","Rockstar Games","Rockstar North","9","8.72","4.7","0.01","3.25","0.76","2014-11-18","2018-04-11"
"/games/boxart/full_5706058AmericaFrontccc.jpg","Call of Duty: Infinite Warfare","PS4","Shooter","Activision","Infinity Ward","7.9","8.48","3.11","0.19","3.83","1.36","2016-11-04","2018-01-14"
"/games/boxart/full_2507140AmericaFrontccc.jpg","Fallout 4","PS4","Role-Playing","Bethesda Softworks","Bethesda Game Studios","8.6","8.48","2.91","0.27","3.97","1.34","2015-11-10","2018-03-24"
"/games/boxart/full_862315AmericaFrontccc.jpg","FIFA 16","PS4","Sports","EA Sports","EA Canada","8.5","8.22","1.15","0.07","5.77","1.23","2015-09-22","2018-04-01"
"/games/boxart/full_4873252AmericaFrontccc.jpg","Star Wars Battlefront (2015)","PS4","Shooter","Electronic Arts","EA DICE","7.1","8.03","3.31","0.23","3.19","1.3","2015-11-17","2018-03-24"
"/games/boxart/full_7487992AmericaFrontccc.jpg","The Sims 3","PC","Simulation","Electronic Arts","EA Redwood Shores","8.5","7.96","1.01","","6.46","0.5","2009-06-02",""
"/games/boxart/1340019ccc.jpg","Grand Theft Auto: Liberty City Stories","PSP","Action","Rockstar Games","Rockstar Leeds","8.8","7.72","2.9","0.24","2.83","1.74","2005-10-25",""
"/games/boxart/full_514368AmericaFrontccc.jpg","Call of Duty: Advanced Warfare","PS4","Shooter","Activision","Sledgehammer Games","8.5","7.53","2.84","0.14","3.34","1.22","2014-11-04","2018-01-04"
"/games/boxart/full_3557116AmericaFrontccc.jpg","Call of Duty: World at War","X360","Shooter","Activision","Treyarch","8.5","7.5","4.88","","1.91","0.71","2008-11-10",""
"/games/boxart/full_battlefield-3_439AmericaFront.jpg","Battlefield 3","X360","Shooter","Electronic Arts","Dice","8.5","7.35","4.47","0.06","2.12","0.69","2011-10-25",""
"/games/boxart/full_9032449AmericaFrontccc.png","Battlefield 1","PS4","Shooter","Electronic Arts","EA DICE","9.1","7.26","2.2","0.29","3.65","1.12","2016-10-21","2018-03-24"
"/games/boxart/full_battlefield-3_278AmericaFront.jpg","Battlefield 3","PS3","Shooter","Electronic Arts","Dice","8.5","7.21","2.86","0.35","2.94","1.07","2011-10-25",""
"/games/boxart/9040231ccc.jpg","Need for Speed Underground","PS2","Racing","Electronic Arts","EA Black Box","8.6","7.2","3.27","0.08","2.83","1.02","2003-11-17",""
"/games/boxart/full_868897AmericaFrontccc.jpg","Need for Speed Underground 2","PS2","Racing","Electronic Arts","EA Black Box","8.3","6.9","2.71","0.08","3.02","1.09","2004-11-15",""
"/games/boxart/7583871ccc.jpg","Medal of Honor: Frontline","PS2","Shooter","Electronic Arts","EA Los Angeles","9","6.83","2.93","0.17","2.75","0.99","2002-05-28",""
"/games/boxart/full_2350454AmericaFrontccc.jpg","Uncharted 2: Among Thieves","PS3","Action","Sony Computer Entertainment","Naughty Dog","9.5","6.74","3.28","0.21","2.22","1.02","2009-10-13",""
"/games/boxart/full_75346AmericaFrontccc.jpg","Call of Duty 4: Modern Warfare","PS3","Shooter","Activision","Infinity Ward","9.5","6.72","3.13","0.28","2.27","1.04","2007-11-05",""
"/games/boxart/full_fifa-soccer-12_475AmericaFront.jpg","FIFA Soccer 12","PS3","Sports","EA Sports","EA Canada","9.2","6.65","0.84","0.11","4.33","1.37","2011-09-27",""
"/games/boxart/full_7375558AmericaFrontccc.jpg","Red Dead Redemption","PS3","Action","Rockstar Games","Rockstar San Diego","9.5","6.57","2.82","0.17","2.58","1","2011-10-11",""
"/games/boxart/full_2634795AmericaFrontccc.jpg","Red Dead Redemption","X360","Action","Rockstar Games","Rockstar San Diego","9.5","6.5","3.77","0.09","2.03","0.6","2010-05-18",""
"/games/boxart/full_7776699AmericaFrontccc.jpeg","Assassin's Creed III","PS3","Action-Adventure","Ubisoft","Ubisoft Montreal","8.8","6.5","2.65","0.16","2.61","1.08","2012-10-30","2018-04-12"
"/games/boxart/full_the-elder-scrolls-v-skyrim_425AmericaFront.jpg","The Elder Scrolls V: Skyrim","PS3","Role-Playing","Bethesda Softworks","Bethesda Game Studios","9","6.49","2.57","0.25","2.68","0.99","2011-11-11","2018-04-01"
"/games/boxart/full_6776646AmericaFrontccc.jpg","Minecraft","PS4","Misc","Sony Computer Entertainment","Mojang","9.4","6.33","1.89","0.35","3.13","0.96","2014-10-07","2018-09-14"
"/games/boxart/full_189344AmericaFrontccc.jpg","FIFA 15","PS4","Sports","EA Sports","EA Canada","8.1","6.32","0.83","0.05","4.49","0.94","2014-09-23","2018-03-23"
"/games/boxart/7411582ccc.jpg","Driver","PS","Action","GT Interactive","Reflections Interactive","8.5","6.27","3.11","0.02","2.8","0.33","1999-06-30",""
"/games/boxart/full_tekken-2_616AmericaFront.jpg","Tekken 2","PS","Fighting","Namco","Namco","9.1","5.74","2.26","1.36","1.89","0.23","1996-08-25",""
"/games/boxart/full_2958031AmericaFrontccc.jpg","LEGO Star Wars: The Complete Saga","Wii","Action","LucasArts","Traveller's Tales","8","5.66","3.57","","1.57","0.52","2007-11-06",""
"/games/boxart/full_4805635AmericaFrontccc.jpg","Cooking Mama","DS","Simulation","Majesco","Office Create","6.6","5.66","3.09","0.07","1.92","0.58","2006-09-12",""
"/games/boxart/full_5252150AmericaFrontccc.jpg","Assassin's Creed II","PS3","Action","Ubisoft","Ubisoft Montreal","9","5.57","2.54","0.21","1.95","0.86","2009-11-17","2018-01-03"
"/games/boxart/full_7562642AmericaFrontccc.jpg","Assassin's Creed","X360","Action","Ubisoft","Ubisoft Montreal","8.2","5.55","3.28","0.07","1.64","0.56","2007-11-13",""
"/games/boxart/full_batman-arkham-city_591AmericaFront.jpg","Batman: Arkham City","PS3","Action","Warner Bros. Interactive","Rocksteady Studios","9.6","5.54","2.72","0.11","1.89","0.82","2011-10-18",""
"/games/boxart/full_forza-motorsport-3_9AmericaFront.jpg","Forza Motorsport 3","X360","Racing","Microsoft Game Studios","Turn 10 Studios","9.2","5.5","2.99","0.1","1.9","0.51","2009-10-27",""
"/games/boxart/full_4070815AmericaFrontccc.jpg","Call of Duty: World at War","PS3","Shooter","Activision","Treyarch","8.4","5.43","2.75","","1.84","0.84","2008-11-10",""
"/games/boxart/9261584ccc.jpg","Crash Bandicoot: The Wrath of Cortex","PS2","Platform","Universal Interactive","Traveller's Tales","6.9","5.42","2.07","0.24","2.29","0.82","2001-10-29",""
"/games/boxart/full_282357AmericaFrontccc.jpg","Final Fantasy XIII","PS3","Role-Playing","Square Enix","Square Enix","8","5.35","1.75","1.87","1.23","0.51","2010-03-09",""
"/games/boxart/full_8353337AmericaFrontccc.jpg","Assassin's Creed II","X360","Action","Ubisoft","Ubisoft Montreal","9.1","5.3","3.14","0.08","1.55","0.52","2009-11-17",""
"/games/boxart/3330776ccc.jpg","Tomb Raider II","PS","Adventure","Eidos Interactive","Core Design Ltd.","7.6","5.24","2.3","0.2","2.46","0.28","1997-10-31",""
"/games/boxart/1473680ccc.jpg","Madden NFL 2004","PS2","Sports","EA Sports","EA Tiburon","9.5","5.23","4.26","0.01","0.26","0.71","2003-08-12",""
"/games/boxart/full_6401955AmericaFrontccc.jpg","Call of Duty: Advanced Warfare","XOne","Shooter","Activision","Sledgehammer Games","8.3","5.22","3.25","0.01","1.49","0.48","2014-11-04","2018-01-01"
"/games/boxart/255122ccc.jpg","Medal of Honor: Rising Sun","PS2","Shooter","Electronic Arts","EA Los Angeles","5.9","5.13","1.98","0.13","2.23","0.8","2003-11-11",""
"/games/boxart/full_601699AmericaFrontccc.png","Battlefield 1","XOne","Shooter","Electronic Arts","EA DICE","9.3","5.13","3.37","0.02","1.26","0.48","2016-10-21","2018-03-24"
"/games/boxart/2419814ccc.jpg","Microsoft Flight Simulator","PC","Simulation","Microsoft","Microsoft","7","5.12","3.22","","1.69","0.2","1996-10-31",""
"/games/boxart/full_2486879AmericaFrontccc.jpg","Guitar Hero II","PS2","Misc","RedOctane","Harmonix Music Systems","9.2","5.12","3.81","","0.63","0.68","2006-11-07",""
"/games/boxart/full_557605AmericaFrontccc.jpg","Mario & Sonic at the Olympic Games","DS","Sports","Sega","Sega","7","5.1","1.63","0.44","2.46","0.57","2008-01-22",""
"/games/boxart/full_fable-iii_9AmericaFront.jpg","Fable III","X360","Role-Playing","Microsoft Game Studios","Lionhead Studios","7.8","5.1","3.59","0.05","1.09","0.37","2010-10-26",""
"/games/boxart/full_989928AmericaFrontccc.jpg","Resident Evil 5","PS3","Action","Capcom","Capcom","8.6","5.1","1.96","1.08","1.42","0.64","2009-03-13",""
"/games/boxart/full_fifa-soccer-11_6AmericaFront.jpg","FIFA Soccer 11","PS3","Sports","EA Sports","EA Canada","8.7","5.08","0.61","0.06","3.28","1.12","2010-09-28",""
"/games/boxart/full_1162504AmericaFrontccc.jpg","Grand Theft Auto: Vice City Stories","PSP","Action","Rockstar Games","Rockstar Leeds","8.4","5.08","1.7","0.16","2.03","1.19","2006-10-31",""
"/games/boxart/full_1882754JapanFrontccc.jpg","Final Fantasy XV","PS4","Role-Playing","Square Enix","Square Enix","8.1","5.07","1.81","1.05","1.53","0.68","2016-11-29","2018-05-04"
"/games/boxart/full_4876777AmericaFrontccc.jpg","Fallout 4","XOne","Role-Playing","Bethesda Softworks","Bethesda Game Studios","8.4","5.03","2.94","0.02","1.62","0.45","2015-11-10","2018-03-24"
"/games/boxart/full_7000850AmericaFrontccc.jpg","Tony Hawk's Pro Skater","PS","Sports","Activision","Neversoft Entertainment","9.6","5.02","3.42","0.02","1.38","0.2","1999-08-31",""
"/games/boxart/full_5372169AmericaFrontccc.jpg","Guitar Hero III: Legends of Rock","PS2","Misc","RedOctane","BudCat Creations","8.2","4.98","3.49","0.01","0.01","1.48","2007-10-28",""
"/games/boxart/full_7863698AmericaFrontccc.jpg","Uncharted: Drake's Fortune","PS3","Action","Sony Computer Entertainment","Naughty Dog","8.7","4.97","2.32","0.12","1.73","0.8","2007-11-16",""
"/games/boxart/full_6847566AmericaFrontccc.jpg","Fallout 3","X360","Role-Playing","Bethesda Softworks","Bethesda Game Studios","9","4.96","3.41","0.09","0.99","0.46","2008-10-28",""
"/games/boxart/full_727567AmericaFrontccc.jpg","Madden NFL 06","PS2","Sports","EA Sports","EA Tiburon","9.1","4.91","3.98","0.01","0.26","0.66","2005-08-08",""
"/games/boxart/full_2363378AmericaFrontccc.jpg","Assassin's Creed","PS3","Action","Ubisoft","Ubisoft Montreal","8.2","4.83","1.91","0.09","2.01","0.82","2007-11-13",""
"/games/boxart/full_1178878AmericaFrontccc.jpg","Crash Team Racing","PS","Racing","Sony Computer Entertainment","Naughty Dog","9.2","4.79","2.57","0.44","1.57","0.21","1999-09-30",""
"/games/boxart/full_5884504AmericaFrontccc.jpg","LEGO Star Wars: The Complete Saga","DS","Action","LucasArts","Traveller's Tales","7.8","4.77","2.83","","1.49","0.45","2007-11-06",""
"/games/boxart/full_batman-arkham-city_302AmericaFront.jpg","Batman: Arkham City","X360","Action","Warner Bros. Interactive","Rocksteady Studios","9.5","4.75","2.99","0.04","1.28","0.44","2011-10-18",""
"/games/boxart/full_6536899AmericaFrontccc.jpg","Driver 2","PS","Action","Atari","Reflections Interactive","7","4.73","2.36","0.02","2.1","0.25","2000-11-13",""
"/games/boxart/7115362ccc.jpg","The Simpsons: Hit & Run","PS2","Racing","VU Games","Radical Entertainment","7.7","4.7","1.73","","2.19","0.79","2003-09-16",""
"/games/boxart/1600356ccc.jpg","Tony Hawk's Pro Skater 2","PS","Sports","Activision","Neversoft Entertainment","9.3","4.68","3.05","0.02","1.41","0.2","2000-09-20",""
"/games/boxart/8307809ccc.jpg","The Lord of the Rings: The Two Towers","PS2","Action","Electronic Arts","Stormfront Studios","8.3","4.67","1.94","0.08","1.95","0.7","2002-10-21",""
"/games/boxart/8585565ccc.jpg","Tomb Raider","PS","Action","Eidos Interactive","Core Design Ltd.","8.9","4.63","2.29","0.13","1.97","0.24","1996-11-14",""
"/games/boxart/full_forza-motorsport-4_905AmericaFront.jpg","Forza Motorsport 4","X360","Racing","Microsoft Studios","Turn 10 Studio","9.1","4.6","2.08","0.06","1.98","0.49","2011-10-11",""
"/games/boxart/full_2081446AmericaFrontccc.jpg","Guitar Hero III: Legends of Rock","Wii","Misc","RedOctane","Vicarious Visions","8.6","4.6","3.04","0","1.12","0.44","2007-10-28",""
"/games/boxart/full_2431298AmericaFrontccc.jpg","FIFA 15","PS3","Sports","EA Sports","EA Canada","6.9","4.56","0.59","0.04","3.25","0.68","2014-09-23","2018-03-23"
"/games/boxart/full_1173134AmericaFrontccc.jpg","Mario & Sonic at the Olympic Winter Games","Wii","Sports","Sega","Sega","6.8","4.54","1.87","0.22","1.97","0.48","2009-10-13",""
"/games/boxart/full_8847041AmericaFrontccc.jpg","Overwatch","PS4","Shooter","Blizzard Entertainment","Blizzard Entertainment","8.8","4.54","1.84","0.17","1.8","0.73","2016-05-24","2018-03-24"
"/games/boxart/full_3667121PALFrontccc.jpg","Guitar Hero III: Legends of Rock","X360","Misc","RedOctane","Neversoft","8.7","4.53","3.19","0.01","0.91","0.42","2007-10-28",""
"/games/boxart/4564394ccc.jpg","Madden NFL 2005","PS2","Sports","EA Sports","EA Tiburon","9.5","4.53","4.18","0.01","0.26","0.08","2004-08-09",""
"/games/boxart/full_9484527AmericaFrontccc.jpg","Spider-Man: The Movie","PS2","Action","Activision","Treyarch","8.2","4.48","2.71","0.03","1.51","0.23","2002-04-15",""
"/games/boxart/9008679ccc.jpg","The Elder Scrolls IV: Oblivion","X360","Role-Playing","Take-Two Interactive","Bethesda Softworks","9.2","4.47","2.89","0.13","1.03","0.41","2009-07-07",""
"/games/boxart/7125264ccc.jpg","Tony Hawk's Pro Skater 3","PS2","Sports","Activision","Neversoft Entertainment","9.1","4.41","2.66","0.01","1.29","0.46","2001-10-28",""
"/games/boxart/full_2440699AmericaFrontccc.jpg","Winning Eleven: Pro Evolution Soccer 2007","PS2","Sports","Konami","Konami Computer Entertainment Tokyo","8.8","4.39","0.1","1.05","2.39","0.86","2007-02-06",""
"/games/boxart/full_137103AmericaFrontccc.jpg","Need for Speed: Most Wanted","PS2","Racing","Electronic Arts","EA Canada","8.6","4.37","2.03","0.08","1.79","0.47","2005-11-15",""
"/games/boxart/full_michael-jackson-the-experience_693AmericaFront.jpg","Michael Jackson: The Experience","Wii","Misc","Ubisoft","Ubisoft Montpellier","5.6","4.37","2.64","0.01","1.33","0.39","2010-11-23",""
"/games/boxart/full_4034633AmericaFrontccc.jpg","Call of Duty: Advanced Warfare","X360","Shooter","Activision","High Moon Studios","9.1","4.34","2.81","0","1.13","0.41","2014-11-04","2018-01-04"
"/games/boxart/full_8831048AmericaFrontccc.jpg","Batman: Arkham Asylum","PS3","Action","Eidos Interactive","Rocksteady Studios","9","4.28","2.26","0.07","1.33","0.63","2009-08-25",""
"/games/boxart/full_4650769AmericaFrontccc.jpg","Call of Duty: Advanced Warfare","PS3","Shooter","Activision","High Moon Studios","9.1","4.27","1.59","0.2","1.81","0.67","2014-11-04","2018-01-04"
"/games/boxart/full_assassins-creed-revelations_212AmericaFront.jpg","Assassin's Creed: Revelations","PS3","Action","Ubisoft","Ubisoft Montreal","8.8","4.23","1.41","0.1","2.03","0.69","2011-11-15",""
"/games/boxart/full_assassins-creed-revelations_328AmericaFront.jpg","Assassin's Creed: Revelations","X360","Action","Ubisoft","Ubisoft Montreal","7.9","4.22","2.28","0.04","1.47","0.44","2011-11-15",""
"/games/boxart/6864151ccc.jpg","FIFA Soccer 06","PS2","Sports","EA Sports","EA Canada","8.4","4.21","0.78","0.04","2.55","0.84","2005-10-04",""
"/games/boxart/full_4144122AmericaFrontccc.jpg","Street Fighter IV","PS3","Fighting","Capcom","Capcom / Dimps Corporation","9.3","4.19","2.04","0.59","1.05","0.52","2009-02-17",""
"/games/boxart/full_fifa-soccer-12_845AmericaFront.jpg","FIFA Soccer 12","X360","Sports","EA Sports","EA Canada","9.2","4.18","0.85","0.02","2.79","0.52","2011-09-27",""
"/games/boxart/full_9732403AmericaFrontccc.jpg","Call of Duty: Ghosts","PS4","Shooter","Activision","Infinity Ward","7.5","4.17","1.79","0.05","1.64","0.69","2013-11-15","2018-03-21"
"/games/boxart/8290971ccc.jpg","Teenage Mutant Ninja Turtles","NES","Platform","Ultra Games","Konami","5.9","4.17","3.38","0.31","0.44","0.04","1989-06-01",""
"/games/boxart/full_8451662AmericaFrontccc.jpg","Star Wars Battlefront (2015)","XOne","Shooter","Electronic Arts","EA DICE","6.9","4.15","2.49","0.02","1.26","0.38","2015-11-17","2018-03-24"
"/games/boxart/32121ccc.jpg","Madden NFL 2003","PS2","Sports","EA Sports","EA Tiburon","9.4","4.14","3.36","0.01","0.21","0.56","2002-08-12",""
"/games/boxart/8249133ccc.jpg","FIFA 07 Soccer","PS2","Sports","EA Sports","Team Fusion","8.4","4.11","0.71","0.03","2.48","0.89","2006-10-03",""
"/games/boxart/full_2497280AmericaFrontccc.jpg","Batman: Arkham Knight","PS4","Action","Warner Bros. Interactive","Rocksteady Studios","8.1","4.11","1.65","0.11","1.68","0.66","2015-06-23","2018-01-04"
"/games/boxart/full_3447327AmericaFrontccc.jpg","The Sims 4","PC","Simulation","Electronic Arts","Maxis","7","4.1","1.2","","2.6","0.3","2014-09-02","2017-12-29"
"/games/boxart/full_fallout-new-vegas_2AmericaFront.jpg","Fallout: New Vegas","X360","Role-Playing","Bethesda Softworks","Obsidian Entertainment","8.2","4.08","2.67","0.04","1.03","0.34","2010-10-19",""
"/games/boxart/full_5471499AmericaFrontccc.jpg","Carnival Games","Wii","Misc","Global Star Software","Cat Daddy Games","4.2","4.06","2.12","0.05","1.47","0.42","2007-08-28",""
"/games/boxart/full_914135AmericaFrontccc.jpg","Far Cry 4","PS4","Shooter","Ubisoft","Ubisoft Montreal","8.4","4.06","1.18","0.11","2.14","0.63","2014-11-18","2018-01-23"
"/games/boxart/6643842ccc.jpg","World Soccer Winning Eleven 9","PS2","Sports","Konami","Konami Computer Entertainment Tokyo","8.9","4.06","0.12","0.9","2.26","0.77","2006-02-07",""
"/games/boxart/full_7383120AmericaFrontccc.jpg","Forza Motorsport 2","X360","Racing","Microsoft Game Studios","Turn 10 Studios","9.1","4.05","2.35","0.03","1.27","0.41","2007-05-29",""
"/games/boxart/full_8749429AmericaFrontccc.jpg","Tekken Tag Tournament","PS2","Fighting","Namco","Namco","8.7","4.05","1.68","0.51","1.51","0.35","2000-10-25",""
"/games/boxart/full_8108598AmericaFrontccc.jpg","Fallout 3","PS3","Role-Playing","Bethesda Softworks","Bethesda Game Studios","8.8","4","2.18","0.07","1.15","0.61","2008-10-28",""
"/games/boxart/full_the-elder-scrolls-v-skyrim_498AmericaFront.jpg","The Elder Scrolls V: Skyrim","PC","Role-Playing","Bethesda Softworks","Bethesda Game Studios","9.2","3.99","1.18","","2.25","0.56","2011-11-11","2018-04-01"
"/games/boxart/full_6414423AmericaFrontccc.jpg","NBA 2K16","PS4","Sports","2K Sports","Visual Concepts","8.7","3.98","2.56","0.05","0.66","0.71","2015-09-29","2018-03-28"
"/games/boxart/full_2414906AmericaFrontccc.jpg","Far Cry 5","PS4","Action","Ubisoft","Ubisoft","7.9","3.95","1.44","0.15","1.73","0.62","2018-03-27","2018-02-28"
"/games/boxart/full_8649362AmericaFrontccc.jpg","Battlefield 4","PS4","Shooter","Electronic Arts","EA DICE","8.3","3.94","1.4","0.19","1.74","0.62","2013-11-15","2018-01-09"
"/games/boxart/full_270231AmericaFrontccc.jpg","Assassin's Creed IV: Black Flag","PS3","Action-Adventure","Ubisoft","Ubisoft Montreal","8.7","3.94","1.34","0.13","1.86","0.62","2013-10-29","2018-03-14"
"/games/boxart/1571136ccc.jpg","Tony Hawk's Underground","PS2","Sports","Activision","Neversoft Entertainment","8.7","3.9","2.29","0.01","1.17","0.42","2003-10-27",""
"/games/boxart/full_9266644AmericaFrontccc.jpg","Just Dance 2014","Wii","Music","Ubisoft","Ubisoft Paris","7.4","3.89","1.91","","1.66","0.33","2013-10-08","2018-03-08"
"/games/boxart/full_sports-champions_6AmericaFront.png","Sports Champions","PS3","Sports","Sony Computer Entertainment","SCE San Diego Studio","7.6","3.88","2.15","0.1","1.13","0.5","2010-09-17",""
"/games/boxart/3345744ccc.jpg","World Soccer Winning Eleven 8 International","PS2","Sports","Konami","Konami Computer Entertainment Tokyo","9.3","3.85","0.16","1.12","1.89","0.68","2005-02-01",""
"/games/boxart/full_9630014AmericaFrontccc.jpg","LEGO Indiana Jones: The Original Adventures","X360","Adventure","LucasArts","Traveller's Tales","7.5","3.76","2.4","","1.01","0.36","2008-06-03",""
"/games/boxart/6609872ccc.jpg","The Sims: Unleashed","PC","Simulation","Electronic Arts","Maxis","7.3","3.76","2.03","","1.56","0.17","2002-09-23",""
"/games/boxart/full_9727386AmericaFrontccc.jpg","Ratchet & Clank: Size Matters","PSP","Platform","Sony Computer Entertainment","High Impact Games","8.5","3.75","1.4","0.1","1.4","0.86","2007-02-13",""
"/games/boxart/full_9060196AmericaFrontccc.jpg","FIFA 17","XOne","Sports","Electronic Arts","EA Canada","8.8","3.71","1.04","","2.4","0.27","2016-09-27","2018-03-28"
"/games/boxart/3316569ccc.gif","FIFA Soccer 2005","PS2","Sports","EA Sports","EA Canada","8.4","3.7","0.58","0.04","2.48","0.59","2004-10-12",""
"/games/boxart/8945880ccc.jpg","Tony Hawk's Pro Skater 4","PS2","Sports","Activision","Neversoft Entertainment","9.6","3.67","2.13","0.01","1.18","0.35","2002-10-23",""
"/games/boxart/full_8603668AmericaFrontccc.jpg","MySims","DS","Simulation","Electronic Arts","EA Redwood Shores","6.7","3.66","1.58","0.08","1.6","0.4","2007-09-18",""
"/games/boxart/full_8576972AmericaFrontccc.jpg","Midnight Club 3: DUB Edition","PSP","Racing","Rockstar Games","Rockstar Leeds","7.2","3.66","1.65","","1.22","0.79","2005-06-27",""
"/games/boxart/full_7967734AmericaFrontccc.jpg","SOCOM: U.S. Navy SEALs","PS2","Shooter","Sony Computer Entertainment","Zipper Interactive","8","3.65","2.53","0.06","0.81","0.24","2002-08-27",""
"/games/boxart/full_5853156AmericaFrontccc.jpg","Battlefield 4","PS3","Shooter","Electronic Arts","EA DICE","8.7","3.64","1.31","0.27","1.5","0.55","2013-10-29","2018-01-04"
"/games/boxart/full_971930AmericaFrontccc.jpg","Jak and Daxter: The Precursor Legacy","PS2","Platform","Sony Computer Entertainment","Naughty Dog","9","3.64","2.08","0.15","1.09","0.33","2001-12-04",""
"/games/boxart/560317ccc.jpg","Pro Evolution Soccer 2008","PS2","Sports","Konami","Konami","8.2","3.63","0.05","0.64","0","2.93","2008-03-11",""
"/games/boxart/full_3447697AmericaFrontccc.jpg","FIFA Soccer 10","PS3","Sports","EA Sports","EA Canada","9","3.63","0.6","0.05","2.46","0.52","2009-10-20",""
